office_name,address,latitude,longitude,postal_code,price,max_people,MON_OPEN,MON_CLOSE,TUES_OPEN,TUES_CLOSE,WED_OPEN,WED_CLOSE,THUR_OPEN,THUR_CLOSE,FRI_OPEN,FRI_CLOSE,SAT_OPEN,SAT_CLOSE,SUN_OPEN,SUN_CLOSE,AC_HOLD_AT,CAFE_HOLD_AT,PRINTER_HOLD_AT,PARCEL_SNDNG_POSBL_AT,DOORLOCK_AT,ELECT_OUTLET_AT,FAX_AT,N24H_OPER_AT,N365D_OPER_AT,HEATER_HOLD_AT,PARKNG_POSBL_AT,CMNUSE_LOUNGE_AT,CMNUSE_KITCHEN_AT,WPU_HOLD_AT,ROOFTOP_HOLD_AT,REFRESHMENTS_PROVD_AT,INDVDL_LOCKER_AT,TV_HOLD_AT,WBOARD_HOLD_AT,WIFI_HOLD_AT,BATH_FCLTY_HOLD_AT
[5인실]선릉 공유오피스 더공간A,서울특별시 강남구 테헤란로70길 14-10,37.50436547,127.0527282,6193,30000,5,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
[5인실]선릉 공유오피스 더공간B,서울특별시 강남구 테헤란로70길 14-10,37.50438925,127.0527431,6193,30000,5,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
[6인실]선릉 공유오피스 더공간,서울특별시 강남구 테헤란로70길 14-10,37.50436547,127.0527282,6193,30000,6,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
[7인실]선릉 공유오피스 더공간A,서울특별시 강남구 테헤란로70길 14-10,37.50436547,127.0527282,6193,30000,7,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
[7인실]선릉 공유오피스 더공간B,서울특별시 강남구 테헤란로70길 14-10,37.50438925,127.0527431,6193,30000,7,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
[맨써]주소지서비스 비상주오피스,제주특별자치도 제주시 신대로 145,33.48430056,126.4967123,63134,20000,6,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
[미사] 공유오피스 소호사무실,경기도 하남시 미사강변대로 70,37.55615552,127.1874375,12919,16000,4,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[비즈넥스트원]의정부 소호사무실,경기도 의정부시 둔야로17번길 14,37.73765612,127.0389972,11649,16000,3,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,09:00,22:00,Y,N,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N
[삼성동] 모두의캠퍼스 2-6인실,서울특별시 강남구 삼성로103길 6,37.51051162,127.0540307,6155,30000,6,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y,Y,N
[성수]교원 창업공간 1인실 창가,서울특별시 성동구 아차산로13길 30,37.54548392,127.0619216,4799,10000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N
[신규오픈] 채움 오피스-최대6인,서울특별시 마포구 신촌로 150,37.55626353,126.9421217,4104,30000,6,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,Y,N
[양재] 여성전용 오피스-2인실,서울특별시 서초구 동산로 68,37.47207627,127.0464132,6784,20000,2,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,09:00,17:00,00:00,00:00,00:00,00:00,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y
[엠플스페이스]명동소호사무실,서울특별시 중구 퇴계로18길 33,37.55932567,126.9851558,4631,20000,4,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
[연희회관] 공유오피스,서울특별시 서대문구 연희로 160,37.57143824,126.9349463,3723,30000,6,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,Y,N
[오픈프로모]예블랑 워크스페이스,서울특별시 강남구 도산대로89길 19-14,37.52605657,127.0505158,6012,10000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,N
[일산원데이오피스] 피터비즈센터,경기도 고양시 일산서구 일산로 774,37.67488441,126.748564,10381,16000,2,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,Y,N
[차고123] 강남역 3인 독립실,서울특별시 강남구 역삼로 123,37.49415449,127.0330086,6243,20000,3,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:30,22:30,06:30,22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[차고123]강남역 1인 독립실,서울특별시 강남구 역삼로 123,37.49415449,127.0330086,6243,10000,1,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,23:00,06:30,22:30,06:30,22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[차고123]강남역 2인 독립실,서울특별시 강남구 역삼로 123,37.49415449,127.0330086,6243,20000,2,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:30,22:30,06:30,22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[차고123]강남역 4인 독립실,서울특별시 강남구 역삼로 123,37.49415449,127.0330086,6243,20000,4,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:30,22:30,06:30,22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[차고123]강남역 5인 독립실,서울특별시 강남구 역삼로 123,37.49415449,127.0330086,6243,30000,5,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:30,22:30,06:30,22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[차고123]강남역6인독립오피스,서울특별시 강남구 역삼로 123,37.49415449,127.0330086,6243,30000,6,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:00,23:00,06:30,22:30,06:30,22:30,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[캔버스랩가로수길] 1인 오피스,서울특별시 강남구 가로수길 77,37.52302402,127.0223048,6028,10000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
[캔버스랩가로수길] 4인 오피스,서울특별시 강남구 가로수길 77,37.52302402,127.0223048,6028,20000,4,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
[캔버스랩가로수길] 6인 오피스,서울특별시 강남구 가로수길 77,37.52302402,127.0223048,6028,30000,6,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
[캔버스랩가로수길] 8인 오피스,서울특별시 강남구 가로수길 77,37.52302402,127.0223048,6028,30000,8,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
[토즈 워크센터 강남2호] 1인실,서울특별시 강남구 강남대로 320,37.49185331,127.0310482,6252,10000,1,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N
[토즈 워크센터 강남2호] 2인실,서울특별시 강남구 강남대로 320,37.49185331,127.0310482,6252,20000,2,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,09:00,18:00,00:00,00:00,00:00,00:00,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N
[프리스타일]홍대 합정 독립오피스,서울특별시 마포구 월드컵북로1길 26,37.55478892,126.9198554,4031,30000,8,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N
[하남 미사] PLACE93,경기도 하남시 미사강변서로 25,37.55265997,127.1828084,12918,16000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y
[할인] 시혜적동물 낙성대 오피스,서울특별시 관악구 남부순환로246길 18,37.47571446,126.9642194,8793,30000,15,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,Y,N
[할인] 시혜적동물 신림 오피스,서울특별시 관악구 봉천로14길 21,37.48718511,126.9304591,8753,30000,8,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,05:00,22:00,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,Y,N
[GARAGE 구리] 1인 사무실,경기도 구리시 검배로 7,37.6004001,127.1419304,11929,7000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
[GARAGE 구리] 2인 사무실,경기도 구리시 검배로 7,37.6004001,127.1419304,11929,16000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
[GARAGE 구리] 3인 사무실,경기도 구리시 검배로 7,37.6004001,127.1419304,11929,16000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
[GARAGE 구리] 4인 사무실,경기도 구리시 검배로 7,37.6004001,127.1419304,11929,16000,4,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
[GARAGE 구리] 5인 사무실,경기도 구리시 검배로 7,37.6004001,127.1419304,11929,25000,5,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
[GARAGE강남점]2인독립오피스,서울특별시 강남구 테헤란로 128,37.49912979,127.0325908,6234,20000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[GARAGE강남점]3인독립오피스,서울특별시 강남구 테헤란로 128,37.49912979,127.0325908,6234,20000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
[GARAGE강남점]4인독립오피스,서울특별시 강남구 테헤란로 128,37.49912979,127.0325908,6234,20000,4,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[GARAGE강남점]5인독립오피스,서울특별시 강남구 테헤란로 128,37.49912979,127.0325908,6234,30000,5,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[GARAGE강남점]6인독립오피스,서울특별시 강남구 테헤란로 128,37.49912979,127.0325908,6234,30000,6,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[GARAGE교대] 2인실,서울특별시 서초구 서초중앙로18길 31,37.49164232,127.0160028,6634,20000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
[GARAGE교대] 4인실,서울특별시 서초구 서초중앙로18길 31,37.49164232,127.0160028,6634,20000,4,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N
[GARAGE대전]1인독립오피스,대전광역시 서구 둔산대로117번길 66,36.36800006,127.3825816,35203,5000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N
[GARAGE대전]2인독립오피스,대전광역시 서구 둔산대로117번길 66,36.36800006,127.3825816,35203,12000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N
[GARAGE대전]3인독립오피스,대전광역시 서구 둔산대로117번길 66,36.36800006,127.3825816,35203,12000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N
[GARAGE대전]4인독립오피스,대전광역시 서구 둔산대로117번길 66,36.36800006,127.3825816,35203,12000,4,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N
[GARAGE선정릉]3인독립오피스,서울특별시 강남구 선릉로 578,37.51009721,127.0441581,6153,20000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,Y,Y,N
[GARAGE약수] 2인 사무실,서울특별시 중구 동호로14길 19,37.55654726,127.0106962,4607,20000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N
[GARAGE약수] 3인 사무실,서울특별시 중구 동호로14길 19,37.55654726,127.0106962,4607,20000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N
[GARAGE약수]4-5인 사무실,서울특별시 중구 동호로14길 19,37.55654726,127.0106962,4607,30000,5,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N
0.9M 쥬디스태화점 1인독립,부산광역시 부산진구 중앙대로 694,35.15472735,129.0596224,47295,7000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,Y,N
0.9M 쥬디스태화점 2인독립,부산광역시 부산진구 중앙대로 694,35.15472735,129.0596224,47295,16000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N
0.9M 쥬디스태화점 3인독립,부산광역시 부산진구 중앙대로 694,35.15472735,129.0596224,47295,16000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,N
0.9M 쥬디스태화점 4인독립,부산광역시 부산진구 중앙대로 694,35.15472735,129.0596224,47295,16000,4,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,N
"1,3인실 소호사무실 디오빌오피스",서울특별시 영등포구 당산로 222,37.53324478,126.9022911,7214,20000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N
102스타트업 프라이빗 1인실,경기도 고양시 일산동구 중앙로 1080,37.64563853,126.7852311,10447,7000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
102스타트업 프라이빗 3인실,경기도 고양시 일산동구 중앙로 1080,37.64563853,126.7852311,10447,16000,3,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
102스타트업 프라이빗2인실,경기도 고양시 일산동구 중앙로 1080,37.64563853,126.7852311,10447,16000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
102스타트업 프라이빗2인실 내측,경기도 고양시 일산동구 중앙로 1080,37.64563853,126.7852311,10447,16000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N
1인 독립사무실 가온비즈니스센터,서울특별시 영등포구 양평로 24,37.53325958,126.9037411,7223,10000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,N
1인가산소호사무실 114소호사무실,서울특별시 금천구 가산디지털1로 137,37.47765869,126.8819304,8506,10000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N
1인실 독립오피스 디오빌오피스_기본사용,서울특별시 영등포구 당산로 222,37.53324478,126.9022911,7214,10000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N
"1인실 독립오피스,디오빌오피스_1개월(내측)",서울특별시 영등포구 당산로 222,37.53324478,126.9022911,7214,10000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,N
1인영등포소호사무실114소호사무실,서울특별시 영등포구 양산로 53,37.52563167,126.8889225,7271,10000,1,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,Y,N
2인 독립실 가온비즈니센터,서울특별시 영등포구 양평로 24,37.53325958,126.9037411,7223,20000,2,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,00:00,23:59,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,Y,N
